Time_seconds,OmegaX_[deg/s],OmegaY_[deg/s],OmegaZ_[deg/s],AccX_[m/s/s],AccY_[m/s/s],AccZ_[m/s/s],Temperature_[C]
2.385,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1724414,9.9058008,31.36
2.396,0.0610352,0.0000000,0.0000000,-0.3592529,-0.1676514,9.8818502,31.36
2.407,0.0610352,0.0000000,0.0000000,-0.3736230,-0.1820215,9.9249611,31.37
2.418,0.0000000,0.0610352,-0.0610352,-0.3592529,-0.1724414,9.9105911,31.36
2.429,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1676514,9.9058008,31.35
2.440,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1724414,9.8626900,31.35
2.451,0.0000000,0.0000000,-0.0610352,-0.3688330,-0.1820215,9.8579006,31.35
2.462,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1916016,9.8866405,31.35
2.473,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1772314,9.8818502,31.37
2.484,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1628613,9.8866405,31.36
2.495,0.0000000,0.0610352,0.0000000,-0.3688330,-0.1724414,9.8387403,31.35
2.505,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1676514,9.8770609,31.36
2.516,0.0000000,0.0610352,-0.0610352,-0.3688330,-0.1724414,9.8722706,31.37
2.527,0.0000000,0.0000000,-0.0610352,-0.3592529,-0.1820215,9.8962212,31.37
2.538,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1676514,9.9058008,31.37
2.549,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1580713,9.9153805,31.36
2.560,0.0000000,-0.0610352,0.0000000,-0.3592529,-0.1532813,9.9010105,31.35
2.571,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1628613,9.8770609,31.34
2.582,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1724414,9.8818502,31.35
2.593,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1628613,9.8674803,31.36
2.604,0.0000000,0.0610352,0.0000000,-0.3640430,-0.1580713,9.8722706,31.36
2.615,0.0000000,0.0610352,0.0000000,-0.3592529,-0.1676514,9.9105911,31.36
2.626,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1580713,9.8674803,31.36
2.637,0.0000000,0.0000000,0.0000000,-0.3784131,-0.1676514,9.8674803,31.36
2.648,0.0000000,0.0000000,-0.0610352,-0.3832031,-0.1628613,9.9201708,31.34
2.659,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1628613,9.8818502,31.34
2.670,0.0000000,-0.0610352,0.0000000,-0.3640430,-0.1532813,9.8579006,31.34
2.681,0.0000000,0.0000000,0.0000000,-0.3496729,-0.1628613,9.8626900,31.35
2.692,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1724414,9.8579006,31.34
2.703,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1724414,9.8722706,31.36
2.714,0.0000000,0.0610352,0.0000000,-0.3544629,-0.1676514,9.8435307,31.35
2.725,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1628613,9.9153805,31.35
2.736,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1772314,9.8770609,31.37
2.747,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1772314,9.9105911,31.36
2.758,0.0000000,0.0610352,0.0000000,-0.3592529,-0.1868115,9.9249611,31.35
2.769,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1772314,9.8818502,31.34
2.780,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1676514,9.8962212,31.35
2.791,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1820215,9.8722706,31.36
2.802,0.0000000,0.0000000,0.0000000,-0.3784131,-0.1772314,9.8674803,31.35
2.813,0.0000000,0.0610352,0.0000000,-0.3688330,-0.1532813,9.8770609,31.35
2.824,0.0000000,0.0610352,0.0000000,-0.3688330,-0.1676514,9.8818502,31.34
2.835,0.0000000,0.0000000,0.0000000,-0.3592529,-0.1772314,9.8962212,31.35
2.846,0.0000000,0.0000000,-0.0610352,-0.3448828,-0.1724414,9.8626900,31.35
2.857,0.0000000,0.0000000,0.0000000,-0.3496729,-0.1724414,9.8866405,31.36
2.868,-0.0610352,0.0000000,0.0000000,-0.3688330,-0.1676514,9.8579006,31.37
2.879,0.0000000,0.0610352,0.0000000,-0.3496729,-0.1580713,9.8674803,31.36
2.890,0.0000000,0.0000000,0.0000000,-0.3448828,-0.1580713,9.8531103,31.37
2.901,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1580713,9.8818502,31.36
2.912,-0.0610352,0.0000000,0.0000000,-0.3688330,-0.1676514,9.8770609,31.36
2.923,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1820215,9.9010105,31.35
2.934,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1580713,9.8866405,31.35
2.945,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1724414,9.8818502,31.35
2.956,0.0000000,0.0000000,-0.0610352,-0.3640430,-0.1676514,9.8818502,31.36
2.967,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1628613,9.8914309,31.35
2.978,0.0000000,0.0610352,0.0000000,-0.3640430,-0.1580713,9.8818502,31.36
2.989,0.0000000,0.0610352,0.0000000,-0.3688330,-0.1628613,9.8722706,31.36
3.000,0.0000000,0.0610352,0.0000000,-0.3592529,-0.1580713,9.8770609,31.36
3.011,0.0000000,0.0000000,0.0000000,-0.3496729,-0.1868115,9.8818502,31.35
3.022,0.0000000,0.0610352,0.0000000,-0.3400928,-0.1580713,9.8770609,31.36
3.033,0.0000000,0.0610352,0.0000000,-0.3640430,-0.1580713,9.8722706,31.34
3.044,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1532813,9.8866405,31.35
3.055,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1532813,9.8722706,31.36
3.066,0.0000000,0.0000000,0.0000000,-0.3640430,-0.1580713,9.8866405,31.37
3.077,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1628613,9.8722706,31.36
3.088,0.0000000,0.0610352,0.0000000,-0.3784131,-0.1532813,9.8914309,31.35
3.099,0.0000000,0.0000000,0.0000000,-0.3688330,-0.1437012,9.8914309,31.35
3.110,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1676514,9.8770609,31.35
3.121,0.0000000,0.0000000,0.0000000,-0.3736230,-0.1772314,9.8626900,31.35
3.132,0.0000000,0.0610352,0.0000000,-0.3736230,-0.1676514,9.8962212,31.36
3.143,0.0000000,0.0000000,0.0000000,-0.3784131,-0.1676514,9.9105911,31.36
3.154,0.0000000,0.0000000,0.0610352,-0.3736230,-0.1772314,9.8770609,31.37
3.165,0.0000000,0.0000000,0.0000000,-0.3544629,-0.1580713,9.9105911,31.37
3.176,0.0610352,0.0000000,0.0000000,-0.3640430,-0.1676514,9.9010105,31.37
3.187,0.0610352,0.0000000,-0.0610352,-0.3832031,-0.1628613,9.9010105,31.37
3.198,0.0610352,0.0610352,0.0000000,-0.3784131,-0.1772314,9.8722706,31.37
